name,short_name,city,founded_year,crest_source_url,website_url,notes
Clavia Świątniki Górne,Clavia,Świątniki Górne,1912,https://www.ktowygral.info/druzyna/clavia-swiatniki-gorne,,
Dziecanovia Dziekanowice,Dziecanovia,Dziekanowice,,https://www.ktowygral.info/druzyna/dziecanovia-dziekanowice,,
Beskid Tokarnia,Beskid,Tokarnia,1993,https://www.ktowygral.info/druzyna/beskid-tokarnia,,
Skalnik Trzemeśnia,Skalnik,Trzemeśnia,,https://www.ktowygral.info/druzyna/skalnik-trzemesnia,,
Tempo Rzeszotary,Tempo,Rzeszotary,,https://www.ktowygral.info/druzyna/tempo-rzeszotary,,
LKS Rudnik,Rudnik,Rudnik,,https://www.ktowygral.info/druzyna/lks-rudnik-myslenice,,
LKS Rudnik II,Rudnik II,Rudnik,,https://www.ktowygral.info/druzyna/lks-ii-rudnik-myslenice,,Rezerwy LKS Rudnik
Orzeł Nowa Wieś,Orzeł,Nowa Wieś,,https://www.ktowygral.info/druzyna/orzel-nowa-wies,,
Gościbia Sułkowice,Gościbia,Sułkowice,,https://www.ktowygral.info/druzyna/goscibia-sulkowice,,
Iskra Głogoczów,Iskra Głogoczów,Głogoczów,,https://www.ktowygral.info/druzyna/iskra-glogoczow,,
Iskra Brzączowice,Iskra Brzączowice,Brzączowice,,https://www.ktowygral.info/druzyna/iskra-brzaczowice,,
LKS Trzebunia,Trzebunia,Trzebunia,,https://www.ktowygral.info/druzyna/lks-trzebunia,,
Karpaty Siepraw,Karpaty,Siepraw,,https://www.ktowygral.info/druzyna/karpaty-siepraw,,
Grodzisko Raciechowice,Grodzisko,Raciechowice,,https://www.ktowygral.info/druzyna/grodzisko-raciechowice,,
Zielonka Wrząsowice,Zielonka,Wrząsowice,,https://www.ktowygral.info/druzyna/zielonka-wrzasowice,,
Lubomir Wiśniowa,Lubomir,Wiśniowa,,https://www.ktowygral.info/druzyna/lubomir-wisniowa,,
Dalin II Myślenice,Dalin II,Myślenice,,https://www.ktowygral.info/druzyna/dalin-ii-myslenice,,Rezerwy Dalinu Myślenice
Pasternik Ochojno,Pasternik,Ochojno,,https://www.ktowygral.info/druzyna/pasternik-ochojno,,
Jordan Sum Zakliczyn,Jordan,Zakliczyn,,https://www.ktowygral.info/druzyna/jordan-sum-zakliczyn,,
Górki Myślenice,Górki,Myślenice,,https://www.ktowygral.info/druzyna/gorki-myslenice,,
Sokół Borzęta,Sokół,Borzęta,,https://www.ktowygral.info/druzyna/sokol-borzeta,,
Staw Polanka,Staw,Polanka,,https://www.ktowygral.info/druzyna/staw-polanka,,
Topór Tenczyn,Topór,Tenczyn,,https://www.ktowygral.info/druzyna/topor-tenczyn,,
Hejnał Krzyszkowice,Hejnał,Krzyszkowice,,https://www.ktowygral.info/druzyna/hejnal-krzyszkowice,,
Szczebel Lubień,Szczebel,Lubień,,https://www.ktowygral.info/druzyna/szczebel-lubien,,
Wicher Stróża,Wicher,Stróża,,https://www.ktowygral.info/druzyna/wicher-stroza,,
Wrzosy Osieczany,Wrzosy,Osieczany,,https://www.ktowygral.info/druzyna/wrzosy-osieczany,,
Rokita Kornatka,Rokita,Kornatka,,https://www.ktowygral.info/druzyna/rokita-kornatka,,
Sęp Droginia,Sęp,Droginia,,https://www.ktowygral.info/druzyna/sep-droginia,,
Pcimianka Pcim,Pcimianka,Pcim,,https://www.ktowygral.info/druzyna/pcimianka-pcim,,
Raba Dobczyce,Raba,Dobczyce,,https://www.ktowygral.info/druzyna/raba-dobczyce,,
Krakus Swoszowice (Kraków),Krakus,Swoszowice,,https://www.ktowygral.info/druzyna/krakus-swoszowice-krakow,,
Wróblowianka Wróblowice (Kraków),Wróblowianka,Wróblowice,,https://www.ktowygral.info/druzyna/wroblowianka-wroblowice-krakow,,
LKS Mogilany,Mogilany,Mogilany,,https://www.ktowygral.info/druzyna/lks-mogilany,,
Gdovia Gdów,Gdovia,Gdów,,https://www.ktowygral.info/druzyna/gdovia-gdow,,
LKS Libertów,Libertów,Libertów,,https://www.ktowygral.info/druzyna/lks-libertow,,
Opatkowianka,Opatkowianka,Opatkowice,,https://www.ktowygral.info/druzyna/opatkowianka,,
Cyrhla Krzczonów,Cyrhla,Krzczonów,,https://www.ktowygral.info/druzyna/cyrhla-krzczonow,,
Orzeł Myślenice,Orzeł Myślenice,Myślenice,,https://www.ktowygral.info/druzyna/orzel-myslenice,,Historyczna nazwa/strona do dalszej weryfikacji względem Orła Nowa Wieś
