season,club,source_name,source_url,confidence,notes
2002/03,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV - Myślenice"
2003/04,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV - Myślenice"
2004/05,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV (Myślenice)"
2005/06,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV (Myślenice)"
2006/07,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV (Myślenice)"
2007/08,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2008/09,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2009/10,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2010/11,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2011/12,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2012/13,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2013/14,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2014/15,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2015/16,Pasternik Ochojno,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3610&id_sezon=75,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2002/03,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV - Myślenice"
2003/04,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV - Myślenice"
2004/05,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV (Myślenice)"
2005/06,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV (Myślenice)"
2006/07,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Kraków IV (Myślenice)"
2007/08,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2008/09,Pcimianka Pcim,90minut-index,https://www.90minut.pl/skarb.php?id_klub=3611&id_sezon=105,0.90,"Zindeksowana historia klubu: Klasa A Myślenice"
2006/07,Staw Polanka,Staw Polanka - historia klubu,https://arcusbud.wixsite.com/staw-polanka/historia-klubu,0.88,"Historia klubu podaje Klasa A Kraków IV (Myślenice)"
