club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Tempo Rzeszotary,2012/13,Dziecanovia Dziekanowice,https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/33044_Dziecanovia_rozstrzelana_przez_Tempo,2012-10-28,post_match,opening_goal_scorer,,Tomasz Podsiadło,0.98,1:4,2012-10-27,Tomasz Podsiadło otworzył wynik w 5 minucie
Tempo Rzeszotary,2012/13,Dziecanovia Dziekanowice,https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/33044_Dziecanovia_rozstrzelana_przez_Tempo,2012-10-28,post_match,penalty_scorer,,Mirosław Gawęda,0.98,1:4,2012-10-27,Mirosław Gawęda wykorzystał rzut karny na 0:3 w 50 minucie
Dziecanovia Dziekanowice,2012/13,Tempo Rzeszotary,https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/33044_Dziecanovia_rozstrzelana_przez_Tempo,2012-10-28,post_match,own_goal,,Bartosz Gągol,0.98,1:4,2012-10-27,Bartosz Gągol zanotował samobójcze trafienie w 89 minucie dające Dziecanovii gola na 1:4
Dziecanovia Dziekanowice,2012/13,Tempo Rzeszotary,https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/33044_Dziecanovia_rozstrzelana_przez_Tempo,2012-10-28,post_match,attendance,,100,0.98,1:4,2012-10-27,Relacja podaje 100 widzów
LKS Rudnik,2012/13,Wróblowianka Wróblowice (Kraków),https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/32279_Stale_fragmenty_Rudnika,2012-09-17,post_match,opening_goal_scorer,,Tomasz Klimczyk,0.98,2:0,2012-09-16,Tomasz Klimczyk otworzył wynik w 20 minucie po rzucie rożnym
LKS Rudnik,2012/13,Wróblowianka Wróblowice (Kraków),https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/32279_Stale_fragmenty_Rudnika,2012-09-17,post_match,brace_scorer,,Tomasz Klimczyk,0.98,2:0,2012-09-16,Tomasz Klimczyk zdobył obie bramki Rudnika
LKS Rudnik,2012/13,Wróblowianka Wróblowice (Kraków),https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/32279_Stale_fragmenty_Rudnika,2012-09-17,post_match,free_kick_scorer,,Tomasz Klimczyk,0.98,2:0,2012-09-16,Tomasz Klimczyk ustalił wynik bezpośrednim uderzeniem z rzutu wolnego w 78 minucie
LKS Rudnik,2012/13,Wróblowianka Wróblowice (Kraków),https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/32279_Stale_fragmenty_Rudnika,2012-09-17,post_match,attendance,,150,0.98,2:0,2012-09-16,Relacja podaje 150 widzów
LKS Rudnik,2012/13,Sęp Droginia,https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/32438_Cztery_gole_Rudnika_w_Drogini,2012-09-24,post_match,opening_goal_scorer,,Marcin Filipek,0.98,1:4,2012-09-23,Marcin Filipek otworzył wynik w 14 minucie
LKS Rudnik,2012/13,Sęp Droginia,https://www.sportowetempo.pl/pn_malopolska_a_klasa_myslenice_13/artykul/32438_Cztery_gole_Rudnika_w_Drogini,2012-09-24,post_match,brace_scorer,,Marcin Filipek,0.98,1:4,2012-09-23,Marcin Filipek zdobył dwie bramki Rudnika w 14 i 84 minucie
