club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Topór Tenczyn,2014/15,Wróblowianka Wróblowice (Kraków),https://ksbrochow.futbolowo.pl/game/214915/topor-tenczyn-vs-wroblowianka,,post_match,opening_goal_scorer,,Daniel Flaga,0.99,3:2,2015-04-26,Daniel Flaga otworzył wynik już w 1 minucie
Topór Tenczyn,2014/15,Wróblowianka Wróblowice (Kraków),https://ksbrochow.futbolowo.pl/game/214915/topor-tenczyn-vs-wroblowianka,,post_match,assist,Daniel Flaga,Konrad Druzgała,0.99,3:2,2015-04-26,Konrad Druzgała asystował przy golu Daniela Flagi w 1 minucie
Topór Tenczyn,2014/15,Wróblowianka Wróblowice (Kraków),https://ksbrochow.futbolowo.pl/game/214915/topor-tenczyn-vs-wroblowianka,,post_match,brace_scorer,,Jakub Burtan,0.99,3:2,2015-04-26,Jakub Burtan zdobył bramki w 11 i 82 minucie
Topór Tenczyn,2014/15,Wróblowianka Wróblowice (Kraków),https://ksbrochow.futbolowo.pl/game/214915/topor-tenczyn-vs-wroblowianka,,post_match,assist,Jakub Burtan,Arkadiusz Stopkiewicz,0.99,3:2,2015-04-26,Arkadiusz Stopkiewicz asystował przy drugim golu Jakuba Burtana
Topór Tenczyn,2014/15,Tempo Rzeszotary,https://lubomiasilesia.futbolowo.pl/game/90267,,post_match,assist,Piotr Gruszkowski,Bartłomiej Paś,0.98,7:3,2014-08-17,Karta meczu podaje asystę Bartłomieja Pasia przy golu Piotra Gruszkowskiego
Topór Tenczyn,2014/15,Tempo Rzeszotary,https://lubomiasilesia.futbolowo.pl/game/90267,,post_match,assist,Bartłomiej Paś,Daniel Flaga,0.98,7:3,2014-08-17,Karta meczu podaje asystę Daniela Flagi przy golu Bartłomieja Pasia
Topór Tenczyn,2014/15,Tempo Rzeszotary,https://stalbrzeg.futbolowo.pl/player/54535/career,,post_match,brace_scorer,,Robert Michalak,0.96,4:1,2015-04-12,Archiwum kariery Futbolowo oznacza dwa gole Roberta Michalaka w meczu z Tempem
Topór Tenczyn,2014/15,Clavia Świątniki Górne,https://mlodzik.radom.pl/player/91740/career,,post_match,brace_scorer,,Patryk Talaga,0.96,4:5,2015-05-16,Archiwum kariery Futbolowo oznacza dwa gole Patryka Talagi w wygranym 5:4 meczu z Clavią
Topór Tenczyn,2014/15,Orzeł Nowa Wieś,https://lks-trzebownisko.futbolowo.pl/player/29241/career,,post_match,brace_scorer,,Bartłomiej Paś,0.96,1:3,2015-06-14,Archiwum kariery Futbolowo oznacza dwa gole Bartłomieja Pasia w zwycięstwie 3:1
Topór Tenczyn,2014/15,Wrzosy Osieczany,https://lks-trzebownisko.futbolowo.pl/player/29241/career,,post_match,hat_trick_scorer,,Bartłomiej Paś,0.96,3:3,2015-06-20,Archiwum kariery Futbolowo oznacza trzy gole Bartłomieja Pasia w remisie 3:3
