club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://lkstoportenczyn.futbolowo.pl/news/article/wazne-zwyciestwo-z-orlem-nowa-wies,2017-09-21,post_match,hat_trick_scorer,,Robert Michalak,0.99,4:1,2017-09-17,Robert Michalak zdobył klasycznego hat-tricka w 13 31 i 38 minucie
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://lkstoportenczyn.futbolowo.pl/news/article/wazne-zwyciestwo-z-orlem-nowa-wies,2017-09-21,post_match,penalty_scorer,,Robert Michalak,0.99,4:1,2017-09-17,Robert Michalak zdobył trzecią bramkę z rzutu karnego w 38 minucie
Topór Tenczyn,2017/18,Orzeł Nowa Wieś,https://lkstoportenczyn.futbolowo.pl/news/article/wazne-zwyciestwo-z-orlem-nowa-wies,2017-09-21,post_match,comeback_from,,0:1,0.99,4:1,2017-09-17,Topór przegrywał 0:1 po golu Dominika Oleska i wygrał 4:1
Topór Tenczyn,2017/18,Wrzosy Osieczany,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-wrzosami-osieczany-po-emocjonujacym-meczu,2017-08-21,post_match,brace_scorer,,Robert Michalak,0.99,2:1,,Robert Michalak zdobył obie bramki Topora
Topór Tenczyn,2017/18,Wrzosy Osieczany,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-wrzosami-osieczany-po-emocjonujacym-meczu,2017-08-21,post_match,header_scorer,,Robert Michalak,0.99,2:1,,Robert Michalak zdobył pierwszą bramkę głową po dośrodkowaniu z lewej strony
Beskid Tokarnia,2017/18,Topór Tenczyn,https://lkstoportenczyn.futbolowo.pl/news/article/beskid-obnazyl-fatalne-bledy-toporu,2017-08-28,post_match,four_goal_scorer,,Filip Bednarz,0.99,1:5,,Filip Bednarz zdobył trzy gole w pierwszej połowie i dołożył czwarte trafienie po przerwie
Topór Tenczyn,2017/18,Beskid Tokarnia,https://lkstoportenczyn.futbolowo.pl/news/article/beskid-obnazyl-fatalne-bledy-toporu,2017-08-28,post_match,penalty_scorer,,Robert Michalak,0.99,1:5,,Robert Michalak zdobył jedyną bramkę Topora z rzutu karnego
Topór Tenczyn,2017/18,LKS Rudnik,https://lkstoportenczyn.futbolowo.pl/news/article/wyjazdowe-zwyciestwo-w-rudniku,2017-11-24,post_match,opening_goal_scorer,,Daniel Flaga,0.99,0:1,,Daniel Flaga zdobył jedyną bramkę meczu pod koniec pierwszej połowy
Topór Tenczyn,2017/18,LKS Rudnik,https://lkstoportenczyn.futbolowo.pl/news/article/wyjazdowe-zwyciestwo-w-rudniku,2017-11-24,post_match,assist,Daniel Flaga,Bartłomiej Paś,0.99,0:1,,Bartłomiej Paś podał wzdłuż bramki do Daniela Flagi przy zwycięskim golu
Topór Tenczyn,2017/18,Jordan Sum Zakliczyn,https://lkstoportenczyn.futbolowo.pl/news/article/zwyciestwo-z-jordanem-swietna-gra-toporu-mimo-brakow-kadrowych,2017-11-24,post_match,brace_scorer,,Krzysztof Paś,0.99,2:0,,Krzysztof Paś zdobył obie bramki Topora po kontratakach
