club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Wróblowianka Wróblowice (Kraków),2019/20,Karpaty Siepraw,https://test.futmal.pl/news/szczyt-w-sieprawiu-fotovideo,2019-10-14,post_match,mvp,,Jarosław Guzik,0.97,0:1,2019-10-12,FUTMAL MVP po zwycięstwie Wróblowianki w meczu na szczycie
Wróblowianka Wróblowice (Kraków),2019/20,Karpaty Siepraw,https://test.futmal.pl/news/szczyt-w-sieprawiu-fotovideo,2019-10-14,post_match,attendance,,300,0.97,0:1,2019-10-12,Relacja podaje 300 widzów
Górki Myślenice,2019/20,LKS Rudnik,https://futmal.pl/news/zwyciestwo-gorek-nad-rudnikiem-fotovideo,2019-09-11,post_match,free_kick_scorer,,Mateusz Kubiński,0.97,5:1,2019-09-07,Mateusz Kubiński zdobył w 85 minucie bramkę bezpośrednio z rzutu wolnego
Górki Myślenice,2019/20,LKS Rudnik,https://futmal.pl/news/zwyciestwo-gorek-nad-rudnikiem-fotovideo,2019-09-11,post_match,stoppage_time_scorer,,Jarosław Kuchnia,0.97,5:1,2019-09-07,Jarosław Kuchnia ustalił wynik na 5:1 w 90+2 minucie po indywidualnym rajdzie
Górki Myślenice,2019/20,LKS Rudnik,https://futmal.pl/news/zwyciestwo-gorek-nad-rudnikiem-fotovideo,2019-09-11,post_match,header_scorer,,Tomasz Kania,0.97,5:1,2019-09-07,Tomasz Kania zdobył drugą ze swoich bramek strzałem głową
Górki Myślenice,2019/20,LKS Rudnik,https://futmal.pl/news/zwyciestwo-gorek-nad-rudnikiem-fotovideo,2019-09-11,post_match,substitute_brace_scorer,,Tomasz Kania,0.97,5:1,2019-09-07,Tomasz Kania wszedł z ławki w 74 minucie i strzelił dwa gole w 78 i 90 minucie
Górki Myślenice,2019/20,LKS Rudnik,https://futmal.pl/news/zwyciestwo-gorek-nad-rudnikiem-fotovideo,2019-09-11,post_match,attendance,,70,0.97,5:1,2019-09-07,Relacja podaje 70 widzów
Beskid Tokarnia,2019/20,Górki Myślenice,https://test.futmal.pl/news/tajs-poprowadzil-beskid-do-zwyciestwa-fotovideo,2019-09-26,post_match,hat_trick_scorer,,Krzysztof Tajs,0.97,3:2,2019-09-21,Krzysztof Tajs wszedł po przerwie i zdobył wszystkie trzy gole Beskidu w 70 80 i 88 minucie
Beskid Tokarnia,2019/20,Górki Myślenice,https://test.futmal.pl/news/tajs-poprowadzil-beskid-do-zwyciestwa-fotovideo,2019-09-26,post_match,comeback_from,,0:2,0.97,3:2,2019-09-21,Beskid przegrywał 0:2 do 70 minuty a następnie wygrał 3:2
Beskid Tokarnia,2019/20,Górki Myślenice,https://test.futmal.pl/news/tajs-poprowadzil-beskid-do-zwyciestwa-fotovideo,2019-09-26,post_match,captain,,Piotr Jątyka,0.97,3:2,2019-09-21,Piotr Jątyka rozpoczął mecz jako kapitan Beskidu
Górki Myślenice,2019/20,Beskid Tokarnia,https://test.futmal.pl/news/tajs-poprowadzil-beskid-do-zwyciestwa-fotovideo,2019-09-26,post_match,captain,,Mateusz Kubiński,0.97,3:2,2019-09-21,Mateusz Kubiński rozpoczął mecz jako kapitan Górek
Górki Myślenice,2019/20,Beskid Tokarnia,https://test.futmal.pl/news/tajs-poprowadzil-beskid-do-zwyciestwa-fotovideo,2019-09-26,pre_match,returning_player,,Mateusz Pietrzyk,0.95,3:2,2019-09-21,Relacja zaznacza że wracający po przerwie Mateusz Pietrzyk pojawił się na ławce Górek
Beskid Tokarnia,2019/20,Górki Myślenice,https://test.futmal.pl/news/tajs-poprowadzil-beskid-do-zwyciestwa-fotovideo,2019-09-26,post_match,attendance,,80,0.97,3:2,2019-09-21,Relacja podaje 80 widzów
Clavia Świątniki Górne,2019/20,Górki Myślenice,https://myslenice-itv.pl/artykul/lks-clavia-swiatniki-gorne-vs-gorki-myslenice-n945214,2019-10-10,post_match,penalty_scorer,,Karol Żak,0.98,1:4,2019-10-05,Karol Żak wykorzystał rzut karny w 83 minucie
