season,club,position,played,points,wins,draws,losses,goals_for,goals_against,confidence
2019/20,Wróblowianka Wróblowice (Kraków),1,13,31,10,1,2,28,9,0.95
2019/20,Karpaty Siepraw,2,13,25,8,1,4,39,21,0.95
2019/20,Staw Polanka,3,13,25,7,4,2,32,21,0.95
2019/20,Rokita Kornatka,4,13,25,8,1,4,28,19,0.95
2019/20,Beskid Tokarnia,5,13,22,7,1,5,34,26,0.95
2019/20,Skalnik Trzemeśnia,6,13,20,6,2,5,19,17,0.95
2019/20,Gościbia Sułkowice,7,13,19,6,1,6,23,24,0.95
2019/20,Górki Myślenice,8,13,18,5,3,5,32,25,0.95
2019/20,Topór Tenczyn,9,13,16,5,1,7,22,30,0.95
2019/20,Lubomir Wiśniowa,10,13,15,4,3,6,12,25,0.95
2019/20,LKS Rudnik,11,13,13,4,1,8,27,37,0.95
2019/20,Zielonka Wrząsowice,12,13,11,3,2,8,24,36,0.95
2019/20,Sokół Borzęta,13,13,10,2,4,7,17,29,0.95
2019/20,Clavia Świątniki Górne,14,13,9,2,3,8,25,43,0.95
